type,name,lon,lat
Park,Alexandra Recreation Ground,-0.0506518,51.4195343
Park,,-0.1029628,51.5005211
Park,,-0.1026154,51.5002933
Park,Birdwatch,-0.1969465,51.4768333
Park,Panoramic Park,-0.2077559,51.6134673
Park,Levita House Plantation,-0.1288306,51.5292528
Park,,-0.1042636,51.5023583
Park,Mabley Edible Garden,-0.0322818,51.5498054
Park,Bird watching area,-0.1557897,51.5303758
Park,Albert Road Garden,-0.1313793,51.6016419
Park,Burnt Oak Lane Open Space,0.1092937,51.4424214
Park,Lambeth Walk Doorstep Green,-0.1129881,51.4926499
Park,,-0.1161183,51.4750744
Park,Lynmouth Park,-0.2178568,51.3822542
Park,,0.0947895,51.4826852
Park,Spa Wood,-0.0901641,51.4117904
Park,,-0.4177856,51.5016853
Park,Laburnum Close Green,-0.0563023,51.475998
Park,Pereguine Park,-0.1058102,51.4321532
Park,,-0.0907780101808069,51.66463679448542
Park,,-0.07853454067445782,51.66694232142276
Park,St Michael's Green,-0.0861008611650493,51.662524693240684
Park,,-0.08161462870220142,51.66123844242158
Park,Bush Hill Park,-0.067916003207649,51.648504131408764
Park,Stephens House & Grounds,-0.19371575616115053,51.5973588276228
Park,Oakwood Park,-0.12052696185786886,51.64111185880533
Park,Enfield Town Park,-0.08615369662516284,51.64919304060669
Park,Victoria Recreation Ground,-0.17030717820599856,51.65258075415693
Park,Sunnyhill Park,-0.22929786557276688,51.596475781320706
Park,Whetstone Stray,-0.18224724470972017,51.62733288311966
Park,School Playing Fields,-0.006325343695796067,51.43437141061621
Park,Lewisham Park,-0.0133202953100604,51.4530484521597
Park,Norfolk Square,-0.17342058141955574,51.51589268174533
Park,Russell Square,-0.12606788562278262,51.52169748219315
Park,Tavistock Square,-0.12902069142227826,51.52504218448208
Park,Glebelands Playing Fields Park,-0.41110016933625687,51.450791378905826
Park,Friary Park,-0.1623889251227536,51.61858206211069
Park,Hatherop Park,-0.38468002706526516,51.42071211673207
Park,Carlisle Park,-0.36732568612398425,51.42123591468016
Park,Hampton Court Green,-0.34304208879742804,51.406985484406434
Park,,-0.215423605048768,51.45344617676577
Park,Durants Park,-0.04154200535317983,51.65340019952449
Park,,-0.23624193154814702,51.457242512574794
Park,,-0.2360758535582425,51.45646220488308
Park,,-0.23598907677271908,51.45808239327051
Park,The Pleasance,-0.2360870151604058,51.46140053430597
Park,,-0.09035448804475489,51.66120497499478
Park,Broomfield Park,-0.11803862924172498,51.61855219050113
Park,Kensington Gardens,-0.1800504592010446,51.50666122764195
Park,Grove Park,-0.23075538495615466,51.58915746079223
Park,Hampton Court Park,-0.3234724621171748,51.401340039201315
Park,Big Wood,-0.18894245099285945,51.58349822008959
Park,St Pancras and Islington Cemetery,-0.16426438884944145,51.60099295430548
Park,Old Deer Park,-0.3091220470014936,51.46788087610879
Park,Arrandene Open Space,-0.23022575689687108,51.613338745639716
Park,Fortune Green,-0.1975831033472969,51.55467033621181
Park,Grove Farm local nature reserve,-0.34039980967327427,51.556393914968176
Park,Hendon Park,-0.22117435889323753,51.58146063570588
Park,Wood End East Recreation Ground,-0.35183324468631927,51.55710850939465
Park,Gladstone Park,-0.2362458942294811,51.55757118745074
Park,Bellingham Green,-0.024471100153337515,51.43109788012801
Park,Mountsfield Park,-0.009246554193144099,51.44743326432585
Park,Lammas Park,-0.3117784398504062,51.50379886993428
Park,Queens Park,-0.21082773976775004,51.535826632303305
Park,Lincoln's Inn,-0.11449539155202605,51.517108872429326
Park,Bethune Park,-0.15326271791866405,51.61967102625452
Park,Craig Park,-0.057513679693717276,51.61570983949304
Park,Pymmes Park,-0.0695623416569281,51.617699891913695
Park,,-0.06841301500866502,51.63653008813853
Park,Grosvenor Square,-0.1513953792776251,51.511497897450596
Park,Leicester Square,-0.13008724050530068,51.51042442906407
Park,Primrose Hill,-0.16106726234302488,51.53893973170777
Park,Stanley Park,-0.1633125487024801,51.356527096870444
Park,Hampstead Cemetery,-0.1999701467434447,51.55563833798976
Park,,-0.3458639484917338,51.56773476430933
Park,Church Fields,-0.34082206445719215,51.57435579891243
Park,Fairland Park,-0.10651249584778014,51.58513369578121
Park,Finsbury Park,-0.10156578889072503,51.570614166641384
Park,Wimbledon Park,-0.20626241443069204,51.43857391179088
Park,Monken Hadley Common,-0.19067314185000067,51.66135852736077
Park,Aldersbrook Avenue Recreation Ground,-0.07507339008630803,51.65870354375166
Park,,-0.08912102174093073,51.65519287931519
Park,,-0.147736905389869,51.63353141538806
Park,Ludgrove Playing Field,-0.15807597123690312,51.65392696860389
Park,,-0.056978407210454426,51.67026725416124
Park,Stationers Park,-0.11211501656461957,51.57933755720507
Park,Parsons Green,-0.19981148615552047,51.47334752413806
Park,Chelmsford Square Tennis Courts & Gardens,-0.2259791143473125,51.53851370202348
Park,Roundwood Park,-0.24045518070435565,51.54141750022353
Park,Hammersmith Park,-0.22821912440116607,51.510323963203895
Park,Shepherds Bush Green,-0.2224826317579818,51.50423642124584
Park,Cranford Country Park,-0.4159955006901318,51.48974830525113
Park,Preston Park,-0.30266633704384194,51.57063581720592
Park,Walpole Park,-0.309882817019505,51.509303546211655
Park,Dean Gardens,-0.3204294746589659,51.510183625350805
Park,Hurlingham Park,-0.2020411304959219,51.46915020992861
Park,South Park,-0.19427131910060352,51.46911022201339
Park,Woburn Square,-0.1296494753445359,51.52333004415568
Park,Gordon Square,-0.13087198530995978,51.52426506196643
Park,St. John's Gardens,-0.3317418488857049,51.47193160806283
Park,West Square Gardens,-0.10552519553903834,51.495184940057946
Park,Queen Square Gardens,-0.12244587287011846,51.52177474775276
Park,Red Lion Square,-0.11890425561979702,51.51917117275829
Park,Berkeley Square,-0.14581209956278346,51.50964146070667
Park,Kings chapel of the Savoy,-0.11958609248339495,51.5106418627951
Park,Victoria Embankment Gardens,-0.12148459459326694,51.50847935542465
Park,Goose Green,-0.07318543630588183,51.46151656663321
Park,Golden Square,-0.13718875541968947,51.51164845140431
Park,Vauxhall Pleasure Gardens,-0.12103188742813632,51.487486566506
Park,Whitehall Garden,-0.12334918315624116,51.505646355287546
Park,Whitehall Garden,-0.12392267613898968,51.503895204164486
Park,Grosvenor Gardens,-0.1471792951175898,51.497801601379614
Park,Grosvenor Gardens,-0.14554157033163906,51.49655373813511
Park,Fairlop Waters Country Park,0.099226538280841,51.59310339983675
Park,Christchurch Gardens,-0.13457498330388623,51.498085585660064
Park,Dean's Yard,-0.12900049105901826,51.49856421162523
Park,College Green,-0.12611860946785464,51.49800793240027
Park,Victoria Tower Gardens,-0.12490314593185668,51.49675974118611
Park,St John's Gardens,-0.1280468655930817,51.49439048860104
Park,Riverside Walk Gardens,-0.12797992466365204,51.48915969768141
Park,Millbank Gardens,-0.1290838479759887,51.49145868010526
Park,Causton Street Playground,-0.1311996344534513,51.490936736584814
Park,Archbishop's Park,-0.11700028914492414,51.496909468239636
Park,,0.10443592148806707,51.56883379994116
Park,Clitterhouse Playing Fields,-0.21536841838021567,51.569352191869655
Park,Lowlands Recreation Ground,-0.33682545811413905,51.578366374264306
Park,The Grove Open Space,-0.33704424811158806,51.576860124520245
Park,Barkingside Recreation Ground,0.07850661524541112,51.58767811346432
Park,Mandeville Parkway,-0.36336038678953353,51.55077568493037
Park,Crabtree Fields,-0.13456760818073538,51.5192419560868
Park,Chestnuts Park,-0.08964081592814314,51.582587154585504
Park,,-0.02893418610426866,51.43461895723942
Park,Tatem Park,-0.08733575847398543,51.619018068965275
Park,Priory Park,-0.12487310094613319,51.58550892077672
Park,,0.19023340231748803,51.589517287802565
Park,Montagu Recreation Ground,-0.04720588659712088,51.62109829180063
